id,article_number,model,brand,product_description,product_description_long,buying_price,ean_code,costs,margin,dealer_margin,currency
96,OR113289,OR-432,ORCA,Orca Medium boom pole Hard Shell Case ,"For medium sized boom poles, max. length 73cm",45,7290015563895,1.02,0.75,0.8,usd
97,OR113290,OR-434,ORCA,Orca Large boom pole Hard Shell Case ,"For large sized boom poles, max. length 95cm",63,7290015563901,1.02,0.75,0.8,usd
98,OR113291,OR-436,ORCA,Orca X-Large boom pole Hard Shell Case ,"For X-large sized boom poles, max. length 127cm   ",72,7290015564007,1.02,0.75,0.8,usd
99,OR113292,OR-444,ORCA,Orca 3S Harness (patented Spinal Support System),For Orca Audio Mixers Bags  OR-30/32/34/41/49,409,7290015564076,1.02,0.75,0.8,usd
100,OR113293,OR-504,ORCA,"Orca Classic Camera Shoulder Bag, XS","Sony HXR-NX80-100, ALPHA, Panasonic HC-X2000, AG-CX350, AG-AC30,CANON: XA & XF (all models) JVC: GY-HM170˜4K  & similarly sized cameras.
Internal Dimensions L39xW17xH21cm",137,7290015565547,1.02,0.75,0.8,usd
101,OR113294,OR-508,ORCA,"Orca Classic Camera Shoulder Bag, S

","Sony: PXW-Z90, PXW-Z150, Panasonic: AG-UX90, AG-UX180, Canon: XA10, XA20, XA25, Blackmagic: URSA mini (all models) & similarly sized cameras.          Internal Dimensions L44xW24xH26 cm",160,7290015565554,1.02,0.75,0.8,usd
102,OR113295,OR-510,ORCA,"Orca Classic Camera Shoulder Bag, M
","Trolley included. For Sony: PXW-Z190, PXW-Z280, Panasonic: AG-DVX200 JVC: GY-HC500, Canon: XF705, Blackmagic: URSA mini (all models) & similarly sized cameras.  Internal Dimensions L47xW25xH30cm ",265,7290015565561,1.02,0.75,0.8,usd
103,OR113296,OR-655,ORCA,Orca Hard Shell Accessories Case,"For accessories and dual receiver systems (Audio Limited, Lextrosonic, Sony and more)  Internal dimensions 11.2x5.7x2"" / 28,4x14,5x5,1cm",41,7290015564014,1.02,0.75,0.8,usd
104,OR113297,OR-732,ORCA,Orca Soft Bag for tripod / light stands (Medium),"Maximum internal length 110cm / 43.3"" - up to 4 light stands (depends on the size)",99,7290015564427,1.02,0.75,0.8,usd
105,OR113298,OR-1000-1,ORCA,Orca Pair of Aluminum Lifts ,Compatible for most Orca audio bags ,34,7290015564021,1.02,0.75,0.8,usd
106,OR113299,OSP-G60*,ORCA,Orca Universal RIGID divider kit,UNIVERSAL RIGID DIVIDER KIT FOR ANY ORCA BAG 6 velcro fasteners. Length: 65 cm/25.5? Max Height: 15 cm/6?      ,16,,1.02,0.75,0.8,usd
107,OR113300,OSP-G61*,ORCA,Orca Universal SEMI RIGID divider kit,"UNIVERSAL SEMI RIGID DIVIDER KIT FOR ANY ORCA BAG, comes with 8 velcro fasteners. Length: 50 cm/19.5? Height: 15 cm/6?   ",14,,1.02,0.75,0.8,usd
108,OR113301,OSP-G62*,ORCA,Orca Universal Simple divider kit,"UNIVERSAL Simple DIVIDER KIT FOR ANY ORCA BAG, comes with 10 velcro fasteners. Length 50 cm/19.6? Height: 10 cm/4?    ",10,,1.02,0.75,0.8,usd
